,tweets,id,len,date,source,likes,retweets,sentiment
0,@PendletonJody Thank you so much! #FUCKcancer 💓💓💓,1166093635546484736,49,2019-08-26 21:02:42,Twitter for Android,1,0,1
1,@_1lucky So so so sorry for u're loss mate same thing happened to my Dad.. 💔. #FuckCancer,1166091406076796931,89,2019-08-26 20:53:50,Twitter for Android,1,0,-1
2,Damn Buddie 💔👼🏾🐐 #FuckCancer https://t.co/e0PaNOPKTK,1166089934672998401,52,2019-08-26 20:47:59,Twitter for iPhone,1,2,0
3,"adriana introduced me to isabel toledo’s designs decades ago, as she’s long admired her work and since then, so have i. a hero and inspiration who in many ways lived a charmed life here in new york, which she hustled hard for. deeply saddened to hear she passed. #fuckcancer https://t.co/xWD8TQJv47",1166088983425761280,298,2019-08-26 20:44:13,Twitter for iPhone,0,0,1
4,"One happy customer! ★★★★★ ""Got this for a relative - they loved it! Great product, and service!"" Eryn1 https://t.co/QntKnt74kA #etsy #papergoods #green #white #fuckcancer #fuckcancercard #cancersupportcard #cancersucks #cancersuckscard #cancerawareness https://t.co/Vobn2EYrn4",1166087060387745798,276,2019-08-26 20:36:34,Etsy,0,0,1
5,Cancer affects each and every one of us. It is the battle of a lifetime and every little bit helps in the fight against cancer. Please help Kraven and his father in their difficult time #FuckCancer https://t.co/wO2jaCcqW0,1166080347928432640,221,2019-08-26 20:09:54,Twitter Web App,4,1,-1
6,@ImEddieMoney saying our prayers for you. #fuckcancer,1166078710316851200,53,2019-08-26 20:03:23,Twitter for Android,0,0,0
7,"@JonnyBones @Daniel_Zamorano Sad news indeed, may he find peace.  #Fuckcancer",1166074249938755584,77,2019-08-26 19:45:40,Twitter for iPhone,1,0,-1
8,"@mbprice5 @MeghanMcCain How she expresses herself bothers you enough to tweet about it? I've lost more than half of my family to cancer and like Meghan, I'm in full support of her form of expression. Grow up, and unfollow. #FuckCancer",1166073543555256322,234,2019-08-26 19:42:52,Twitter for Android,0,0,1
9,Every year on this date it makes me just want to lay in bed and cry. I miss my grandmother so much. #fuckcancer,1166070934509248512,111,2019-08-26 19:32:29,Twitter for iPhone,0,0,1
10,"Saddened by the death of Isabel Toledo from breast cancer at only 59. Image by her husband Ruben Toledo.

#isabeltoledo #rubentoledo #fuckcancer #designer #art #fashion #style #fashiondesigner https://t.co/8yHpGOLZsw",1166070873025105921,216,2019-08-26 19:32:15,Instagram,1,0,0
11,"Well you won’t see me driving a ‘New Car!!’ Or sailing a new boat? Or even new kitchenware..
MORE IMPORTANTLY 
Made some great friends
‘Breast Cancer Awareness Show’
...PRICE IS RIGHT...#breastcancer #fuckcancer #breastcancerawareness  https://t.co/babJg1UACl",1166070060227522560,259,2019-08-26 19:29:01,Twitter for iPhone,0,0,1
12,@uhhpenalty Damn man hoping the best for him #fuckcancer,1166068983461765122,56,2019-08-26 19:24:44,Twitter for iPhone,3,0,1
13,Ugh I just realized Taylor might not be rushing into the Lover tour because of her mom’s health 😞it’s hard to plan vacations—let alone a world tour—when a family member is going through treatment #fuckcancer,1166068836044627974,207,2019-08-26 19:24:09,Twitter for iPhone,7,0,-1
